alias,sample_id,barcode,experiment_id,flow_cell_product_code,kit,position_id
B004-03_2,corrida_20260218_1,barcode21,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B004-04_2,corrida_20260218_1,barcode22,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B004-02_1,corrida_20260218_1,barcode23,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B004-06_1,corrida_20260218_1,barcode24,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B004-07_2,corrida_20260218_1,barcode25,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B004-10_2,corrida_20260218_1,barcode27,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B007-01_2,corrida_20260218_1,barcode28,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B007-02_2,corrida_20260218_1,barcode29,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
B007-03_1,corrida_20260218_1,barcode30,corrida_20260218,FLO-PRO114M,SQK-NBD114-96,P2S-03387-A
